SYMB_COMPANY_NAME,SM_KEY_SYMBOL,SM_NEW_SYMBOL,SM_APPLICABLE_FROM
INEOS Styrolution India Limited,LANABS,INEABS,21-Jul-08
GE T&D India Limited,AREVA,AREVAT&D,14-Jul-08
Arvind Limited,ARVINDMILL,ARVIND,07-Jul-08
GE T&D India Limited,GECALSTHOM,AREVA,30-Jun-08
Abhishek Corporation Limited,AML,ABHISHEK,26-Jun-08
PVP Ventures Limited,SOFTSOLINT,PVP,23-Jun-08
Piramal Enterprises Limited,NICOLASPIR,PIRHEALTH,19-Jun-08
SORIL Infra Resources Limited,PIRAMYDRET,IBRETAILS,09-Jun-08
Value Industries Limited,VDOCONAPPL,VALUEIND,22-May-08
Anik Industries Limited,MPGLYCEM,ANIKINDS,21-May-08
Reliance Infrastructure Limited,REL,RELINFRA,16-May-08
TV18 Broadcast Limited,GBN,IBN18,15-May-08
Piramal Glass Limited,GUJGLASS,PIRGLASS,12-May-08
Digjam Limited,BVXL,DIGJAM,28-Apr-08
Summit Securities Limited,KECINFRA,SUMMIT,21-Apr-08
EIH Associated Hotels Limited,OBERHOTEL,EIHAHOTELS,08-Apr-08
3P Land Holdings Limited,PDUMJEAGRO,PDUMJEIND,28-Mar-08
Hinduja Foundries Limited,ENNOREFO,HINDUJAFO,24-Mar-08
Bajaj Holdings & Investment Limited,BAJAJAUTO,BAJAJHLDNG,14-Mar-08
Brabourne Enterprises Limited,RPGLS,BRABOURNE,14-Mar-08
Rain Industries Limited,PRIYADCEM,RAINCOM,03-Mar-08
Shalimar Paints Limited,SHALMPAINT,SHALPAINTS,03-Mar-08
Olectra Greentech Limited,GOLDTELE,GOLDINFRA,29-Feb-08
Bosch Limited,MICO,BOSCHLTD,28-Feb-08
AMD Industries Limited,AMDMET,AMDIND,25-Feb-08
Era Infra Engineering Limited,ERACONS,ERAINFRA,25-Feb-08
Fame India Limited,SHRINGAR,FAME,25-Feb-08
Tata Communications Limited,VSNL,TATACOMM,25-Feb-08
Jayaswal Neco Industries Limited,NAGPURENG,JAYNECOIND,22-Feb-08
SKIL Infrastructure Limited,HORIZONBAT,HORIZONINF,22-Feb-08
IOL Netcom Limited,IOLB,IOLN,18-Feb-08
Supreme Tex Mart Limited,SUPREMYARN,SUPREMETEX,15-Feb-08
Genus Power Infrastructures Limited,GENUSOVERE,GENUSPOWER,14-Jan-08
Sterlite Technologies Limited,STROPTICAL,STRTECH,17-Dec-07
NXTDIGITAL LIMITED,HINDUJATMT,HINDUJAVEN,29-Nov-07
Mahindra Lifespace Developers Limited,GESCOCORP,MAHLIFE,23-Nov-07
Glodyne Technoserve Limited,PARADYNE,GLODYNE,19-Nov-07
Gulf Oil Corporation Limited,IDLCHEM,GULFOILCOR,08-Nov-07
Procter & Gamble Health Limited,EMERCK,MERCK,05-Nov-07
Nahar Poly Films Limited,NAHAREXPOT,NAHARINVST,01-Nov-07
Srikalahasthi Pipes Limited,LANCOIND,LANCOIN,28-Aug-07
Hindalco Industries Limited,HINDALC0,HINDALCO,27-Aug-07
De Nora India Limited,TITANOCOMP,DENORA,20-Aug-07
Axis Bank Limited,UTIBANK,AXISBANK,16-Aug-07
Jai Balaji Industries Limited,BALASPONGE,JAIBALAJI,10-Aug-07
Deccan Cements Limited,DECCANCEM,DECCANCE,02-Aug-07
W S Industries (I) Limited,WSIND,WSI,01-Aug-07
Ambuja Cements Limited,GUJAMBCEM,AMBUJACEM,24-Jul-07
Hindustan Unilever Limited,HINDLEVER,HINDUNILVR,19-Jul-07
Gujarat Apollo Industries Limited,GUJAPOLIND,GUJAPOLLO,06-Jul-07
Advani Hotels & Resorts (India) Limited,RAMADHOTEL,ADVANIHOTR,25-Jun-07
SIL Investments Limited,SUTLEJINDS,SILINV,21-Jun-07
Birla Power Solutions Limited,BIRLAYAMAH,BIRLAPOWER,06-Jun-07
Gujarat Apollo Industries Limited,GUJAPOLEQP,GUJAPOLIND,04-Jun-07
Chettinad Cement Corporation Limited,CHETNADCEM,CHETTINAD,17-May-07
Entegra Limited,INDUJENERT,ENTEGRA,25-Apr-07
UFLEX Limited,FLEX,UFLEX,17-Apr-07
The Madras Aluminium Company Limited,MADRASALMN,MALCO,12-Apr-07
AstraZeneca Pharma India Limited,ASTRAIDL,ASTRAZEN,10-Apr-07
Somany Ceramics Limited,SPLLTD,SOMANYCERA,21-Mar-07
Ganesh Housing Corporation Limited,GANHSGFIN,GANESHHOUC,02-Mar-07
Himadri Speciality Chemical Limited,HIMADCHEM,HCIL,02-Mar-07
Zee Entertainment Enterprises Limited,ZEETELE,ZEEL,28-Feb-07
TVS Srichakra Limited,SRICHAKTYR,TVSSRICHAK,13-Feb-07
Timken India Limited,TATATIMKEN,TIMKEN,06-Feb-07
IG Petrochemicals Limited,IGPETRO,IGPL,29-Jan-07
Sagar Cements Limited,SAGARCEM,SAGCEM,29-Jan-07
Siyaram Silk Mills Limited,SIYARSILK,SIYSIL,29-Jan-07
Nilkamal Limited,NILKAMPLST,NILKAMAL,05-Jan-07
Kesar Enterprises Limited,KESARENTER,KESARENT,02-Jan-07
Crest Ventures Limited,SHARYANRES,SHARRESLTD,27-Dec-06
Sathavahana Ispat Limited,SATHVANISP,SATHAISPAT,27-Dec-06
MphasiS Limited,MPHASISBFL,MPHASIS,26-Dec-06
Banco Products (I) Limited,BANCOPROD,BANCOINDIA,22-Dec-06
MM Forgings Limited,MMFORGINGS,MMFL,20-Dec-06
Spentex Industries Limited,SPENTXIND,SPENTEX,20-Dec-06
Blue Coast Hotels Limited,MOREPENHTL,BLUECOAST,05-Dec-06
Brabourne Enterprises Limited,SEARLEIND,RPGLS,05-Dec-06
RPG Transmission Limited,SAELTD,RPGTLTD,05-Dec-06
SI Group - India Limited,SCHENHERD,SIGROUPIND,28-Nov-06
Aftek Limited,AFTEKINFO,AFTEK,27-Nov-06
Bharat Bijlee Limited,BARATBIJLE,BBL,21-Nov-06
Apcotex Industries Limited,APCOTEXLAT,APCOTEXIND,01-Nov-06
Precot Limited,PRECOTMILL,PRECOT,01-Nov-06
Vardhman Textiles Limited,MAHAVIRSPG,VTL,11-Oct-06
Elecon Engineering Company Limited,ELECONENGG,ELECON,29-Sep-06
Adani Enterprises Limited,ADANIEXPO,ADANIENT,20-Sep-06
Aztecsoft Limited,AZTEC,AZTECSOFT,20-Sep-06
Bhagyanagar India Limited,BAGYAMETAL,BHAGYNAGAR,12-Sep-06
Federal-Mogul Goetze (India) Limited.,GOETZEIND,FMGOETZE,12-Sep-06
RSWM Limited,RAJASSPG,RSWM,01-Sep-06
Wyeth Limited,WYETHLEDE,WYETH,01-Sep-06
Aban Offshore Limited,ABANLOYD,ABAN,18-Aug-06
Kohinoor Foods Limited,SATNAMOVER,KOHINOOR,18-Aug-06
Wendt (India) Limited,WENDTINDIA,WENDT,07-Aug-06
Nava Bharat Ventures Limited,NAVBARFERO,NBVENTURES,31-Jul-06
Kansai Nerolac Paints Limited,GOODLASNER,KANSAINER,26-Jul-06
Xchanging Solutions Limited,SCANDENT,CAMBRIDGE,17-Jul-06
Hindustan Construction Company Limited,HINDCONS,HCC,10-Jul-06
Mirza International Limited,MIRZATAN,MIRZAINT,05-Jul-06
Reliance Communications Limited,RCVL,RCOM,30-Jun-06
Bharti Airtel Limited,BHARTI,BHARTIARTL,19-Jun-06
Peninsula Land Limited,MORAREALTY,PENINLAND,09-Jun-06
Clariant Chemicals (India) Limited,COLORCHEM,CLNINDIA,05-Jun-06
Cholamandalam Investment and Finance Company Limited,CHOLAINV,CHOLADBS,01-Jun-06
GMR Industries Limited,GMRVASAVI,GMRINDSTRS,28-Apr-06
Vardhman Holdings Limited,VSGML,VHL,17-Apr-06
Adroit Infotech Limited,ARHAMFISCL,COLORCHIPS,04-Apr-06
Gillette India Limited,INDSHAVING,GILLETTE,04-Apr-06
Honda India Power Products Limited,SHRMHONDA,HONDAPOWER,04-Apr-06
Johnson Controls - Hitachi Air Conditioning India Limited,AMTREXAPPL,HITACHIHOM,04-Apr-06
RPG Cables Limited,RPGTELECOM,RPGCABLES,04-Apr-06
SI Group - India Limited,HERDILCHEM,SCHENHERD,04-Apr-06
Tata Coffee Limited,CONSCOFFEE,TATACOFFEE,04-Apr-06
Shreyas Shipping & Logistics Limited,SHREYASHIP,SHREYAS,03-Apr-06
GTN Industries Limited,GTNTEXT,GTNIND,24-Feb-06
Summit Securities Limited,KECINTL,KECINFRA,21-Feb-06
Bosch Chassis Systems India Limited,KALYANBRAK,BOSCHCHASY,10-Feb-06
Ansal Properties & Infrastructure Limited,ANSALPROP,ANSALINFRA,27-Jan-06
JBM Auto Limited,JBMAUTOCOM,JBMA,04-Jan-06
Nagreeka Exports Limited,NAGREKAEXP,NAGREEKA,22-Dec-05
Simplex Infrastructures Limited,SIMPLEXCON,SIMPLEXINF,21-Dec-05
Aditya Birla Nuvo Limited,INDRAYON,ABIRLANUVO,07-Dec-05
Centurion Bank of Punjab Limited,CENBNK,CENTBOP,06-Dec-05
Aditya Birla Chemicals (India) Limited,BIHARCAUST,BCCL,05-Dec-05
PAE Limited,PREMAUTOEL,PAEL,23-Nov-05
Wopolin Plastics Limited,BAJAJPLAST,WOPOLIN,23-Nov-05
Marksans Pharma Limited,TASCPHARMA,MARKSANS,14-Nov-05
Sambhaav Media Limited,PERLENGINF,SAMBHAAV,18-Oct-05
Tata Steel Limited,TISCO,TATASTEEL,17-Oct-05
Sunflag Iron And Steel Company Limited,SUNFLAGIRN,SUNFLAG,29-Sep-05
JSW Steel Limited,JSWSTL,JSWSTEEL,16-Sep-05
Exide Industries Limited,CHLORIDIND,EXIDEIND,12-Sep-05
Indo Count Industries Limited,INDOCOUNT,ICIL,12-Sep-05
Quintegra Solutions Limited,SOFFIASOFT,QUINTEGRA,22-Aug-05
Rane Holdings Limited,RANEMADRAS,RANEHOLDIN,22-Aug-05
AXISCADES Technologies Limited,IT&T,AXIS-IT&T,16-Aug-05
ING Vysya Bank Limited,VYSYABANK,INGVYSYABK,16-Aug-05
ITD Cementation India Limited,TRAFALHSE,ITDCEM,16-Aug-05
Pricol Limited,PREMINSTR,PRICOL,16-Aug-05
Trigyn Technologies Limited,LEADEDSYS,TRIGYN,26-Jul-05
Tata Investment Corporation Limited,INVESTCORP,TATAINVEST,07-Jul-05
Man Industries (India) Limited,MANALUMN,MANINDS,24-Jun-05
Cummins India Limited,KIRLOSKCUM,CUMMINSIND,17-Jun-05
Torrent Power AEC Limited,AHMEDELEC,TORRENTAEC,17-Jun-05
INEOS Styrolution India Limited,ABSIND,LANABS,14-Jun-05
Marico Limited,MARICOIND,MARICO,14-Jun-05
Premier Limited,PREMAUTO,PREMIER,14-Jun-05
Nalwa Sons Investments Limited,JSTRIPS,NSIL,07-Jun-05
Torrent Power SEC Limited,SURATELEC,TORRENTSEC,07-Jun-05
Everest Industries Limited,ETERNEVRST,EVERESTIND,27-May-05
Igarashi Motors India Limited,CGIGARSH,IGARASHI,21-Apr-05
Windsor Machines Limited,DGPWINDSOR,WINDSOR,05-Apr-05
Honeywell Automation India Limited,TATAHONEY,HONAUT,24-Mar-05
Bhansali Engineering Polymers Limited,BHANSALENG,BEPL,21-Mar-05
Flextronics Software Systems Limited,HUGHESSOFT,FSS,17-Mar-05
Atul Limited,ATULPROD,ATUL,10-Mar-05
Linde India Limited,IOL,BOC,10-Mar-05
Jindal Saw Limited,SAWPIPES,JINDALSAW,18-Feb-05
Aban Offshore Limited,ABANLLOYD,ABANLOYD,17-Jan-05
GTL Limited,GLOBALTELE,GTL,14-Jan-05
Tata Teleservices (Maharashtra) Limited,TATATELSER,TTML,14-Jan-05
Crest Animation Studios Limited,CRESTCOMM,CRESTANI,04-Jan-05
Lotte India Corporation Limited,PARRYSCON,LOTTEINDIA,17-Dec-04
Greenply Industries Limited,MITTALLAMI,GREENPLY,09-Dec-04
Black Box Limited,TATATELECM,AVAYAGCL,01-Nov-04
SKF India Limited,SKFBEARING,SKFINDIA,20-Oct-04
Usha Martin Limited,USHABEL,USHAMART,20-Oct-04
Peninsula Land Limited,MORARJESPG,MORAREALTY,15-Oct-04
Ador Welding Limited,ADVANIORLI,ADORWELD,27-Sep-04
Carol Info Services Limited,WOCKLIFE,CAROLINFO,27-Sep-04
Videocon Industries Limited,VDOLEASE,VIDEOIND,21-Sep-04
Kinetic Motor Company Limited,KINHONDA,KINETICMOT,20-Sep-04
OCL India Limited,ORISSACEM,OCL,15-Sep-04
JD Orgochem Limited,JAYSYNTDYE,JDORGO,13-Sep-04
Greaves Cotton Limited,GREAVES,GREAVESCOT,09-Sep-04
DIC India Limited,COATESIND,DICIND,06-Sep-04
Procter & Gamble Hygiene and Health Care Limited,P&G,PGHH,07-Jul-04
3M India Limited,BIRLA3M,3MINDIA,15-Jun-04
MphasiS Limited,BFLSOFTWAR,MPHASISBFL,15-Jun-04
Trent Limited,LAKME,TRENT,07-Jun-04
Atcom Technologies Limited,ATCOIND,ATCOM,29-Apr-04
Micro Inks Limited,HINDINKS,MICRO,26-Mar-04
BSEL Infrastructure Realty Limited,BSELINFO,BSELINFRA,12-Mar-04
Panasonic AVC Networks India Company Limited.,MTAL,PAVCI,12-Mar-04
Reliance Infrastructure Limited,BSES,REL,12-Mar-04
Zensar Technologies Limited,FUJITSICIM,ZENSARTECH,04-Mar-04
Tata Steel Long Products Limited,IPITATASPO,TATASPONGE,11-Feb-04
Shiva Texyarn Limited,ANAMALFIN,SHIVTEX,22-Jan-04
Tata Motors Limited,TELCO,TATAMOTORS,26-Dec-03
Automotive Stampings and Assemblies Limited,JBMT,ASAL,14-Oct-03
Jubilant Pharmova Limited,VAMORGANIC,JUBILANT,30-Sep-03
ATN International Limited,ARIHANTCRE,ATNINT,17-Sep-03
Infomedia India Limited,TATAPRESS,TATAINFO,17-Sep-03
Venky's (India) Limited,WESTHATCH,VENKEYS,17-Sep-03
iGate Global Solutions Limited,MASCOT,IGS,07-Aug-03
GlaxoSmithKline Consumer Healthcare Limited,SMITKLBECH,GSKCONS,29-Jul-03
Sterling Biotech Limited,STERLINTEA,STERLINBIO,09-Jul-03
e-Serve International Limited,CITICORSEC,E-SERVEINT,09-Jul-03
Tata Teleservices (Maharashtra) Limited,HUGHESTELE,TATATELSER,25-Jun-03
GE Power India Limited,ABBALPO,APIL,19-May-03
PSL Limited,PSLHOLD,PSL,19-May-03
Sanofi India Limited,HOECHST,AVENTIS,19-May-03
Kotak Mahindra Bank Limited,KOTAKMAH,KOTAKBANK,21-Apr-03
Pharmacia Healthcare Limited,ABBOTTLAB,PHARMACIA,24-Mar-03
Graphite India Limited,CARBEVFLOW,GRAPHITE,13-Jan-03
Hinduja TMT Limited,HINDUJAFIN,HTMT,13-Jan-03
Agro Tech Foods Limited,ITCAGRO,ATFL,31-Dec-02
Madura Coats Limited,COATVIYELA,MADURACOAT,29-Nov-02
TVS Motor Company Limited,TVS-SUZUKI,TVSMOTOR,03-Dec-01
Ausom Enterprise Limited,COREBIO,COREEMBLG,15-Oct-01
Ambuja Cement Rajasthan Limited,DLFCEMENT,AMBUJARAJN,20-Aug-01
NuCent Finance Limited,PRESSMAN,NUCENTFIN,20-Aug-01
Saregama India Limited,GRAMOPHONE,SAREGAMA,20-Aug-01
Schaeffler India Limited,FAGPRECISN,FAGBEARING,20-Aug-01
Seamec Limited,PEERLESHIP,SEAMECLTD,20-Aug-01
Vatsa Music Limited,BABABUSERV,VATSMUSC,20-Aug-01
Wartsila India Limited,WARTDEISEL,WARTSILA,20-Sep-00
Chennai Petroleum Corporation Limited,MADRASREFN,CHENNPETRO,09-Aug-00
Netvista Information Technology Limited,KRAFTIND,NETVISTAIT,09-Aug-00
HCL Infosystems Limited,HCL-HP,HCL-INSYS,12-Apr-00
Alembic Limited,ALMBICHEM,ALEMBICLTD,22-Sep-99
Roofit Industries Limited,RATNABLDG,ROOFITIND,15-Sep-99
